Farmer_ID,Country,Age,Gender,Farm_Size,Crop_Type,Annual_Income_USD,Irrigation_Method,Education_Level,Years_of_Experience,Market_Access,Fertilizer_Use_kg_per_acre,Pesticide_Use_liters_per_acre,Yield_per_Acre_kg
243,Nepal,36,Female,Large (>10 acres),Sugarcane,10156,Canal,University,10,Regional Market,85.39,16.44,9117
244,Pakistan,64,Female,Medium (2-10 acres),Maize,12673,Canal,Secondary,37,Export,243.36,3.5,8895
245,Sri Lanka,25,Female,Large (>10 acres),Wheat,11537,Sprinkler,No formal education,5,Local Market,115.08,7.14,6161
246,Pakistan,34,Female,Small (<2 acres),Potato,1326,Rain-fed,Secondary,5,Regional Market,80.71,2.7,4532
247,Pakistan,19,Female,Small (<2 acres),Sugarcane,17676,Rain-fed,No formal education,18,Regional Market,133.17,2.6,8109
248,India,52,Male,Large (>10 acres),Potato,6461,Tube well,Secondary,38,Export,235.62,10.43,9849
249,Nepal,31,Female,Medium (2-10 acres),Cotton,11435,Drip,Secondary,5,Regional Market,184.47,10.86,804
250,India,35,Male,Small (<2 acres),Sugarcane,9831,Sprinkler,No formal education,18,Export,150.74,15.14,5574
251,Bangladesh,38,Female,Large (>10 acres),Wheat,14720,Drip,Primary,7,Local Market,172.97,2.99,8332
252,Bangladesh,20,Female,Large (>10 acres),Sugarcane,5058,Drip,No formal education,13,Local Market,36.12,5.93,1483
253,Nepal,52,Male,Large (>10 acres),Wheat,9971,Canal,Primary,32,Regional Market,292.43,18.64,1338
254,Pakistan,37,Male,Medium (2-10 acres),Tomato,1819,Canal,University,45,Regional Market,235.51,12.4,1531
255,Nepal,54,Male,Medium (2-10 acres),Potato,18845,Sprinkler,College,2,Regional Market,193.41,11.86,2757
256,Sri Lanka,39,Female,Large (>10 acres),Maize,1190,Drip,University,50,Export,84.98,5.89,6563
257,Nepal,31,Female,Small (<2 acres),Tomato,1779,Tube well,University,27,Regional Market,273.22,1.41,9991
258,Nepal,61,Female,Large (>10 acres),Sugarcane,12441,Rain-fed,College,10,Regional Market,283.41,14.57,6832
259,Nepal,39,Female,Large (>10 acres),Maize,9181,Sprinkler,Primary,42,Export,64.23,6.58,7658
260,Nepal,53,Male,Medium (2-10 acres),Potato,8962,Drip,University,48,Regional Market,214.32,3.92,9115
261,India,41,Male,Large (>10 acres),Potato,7422,Canal,University,30,Local Market,74.15,5.86,8319
262,Pakistan,38,Male,Medium (2-10 acres),Wheat,684,Tube well,College,35,Export,290.31,16.06,5526
263,Sri Lanka,58,Male,Large (>10 acres),Sugarcane,14099,Rain-fed,Primary,36,Export,119.86,12.6,4848
264,Pakistan,59,Female,Large (>10 acres),Sugarcane,5729,Tube well,No formal education,34,Regional Market,15.88,10.28,3749
265,Nepal,46,Female,Medium (2-10 acres),Tomato,8048,Canal,No formal education,40,Local Market,261.82,15.39,3879
266,Bangladesh,53,Female,Large (>10 acres),Rice,15102,Drip,University,23,Export,237.75,2.56,8123
267,Nepal,25,Female,Small (<2 acres),Sugarcane,4506,Tube well,University,29,Regional Market,280.1,4.7,1514
268,Nepal,65,Female,Medium (2-10 acres),Potato,2997,Tube well,College,28,Export,120.57,3.13,9229
269,India,66,Male,Medium (2-10 acres),Wheat,8089,Canal,No formal education,42,Export,87.4,8.25,3173
270,Pakistan,66,Female,Small (<2 acres),Tomato,9369,Canal,University,47,Export,240.11,16.02,1262
271,Bangladesh,58,Female,Small (<2 acres),Rice,814,Drip,College,37,Export,133.34,0.86,936
272,Sri Lanka,24,Male,Medium (2-10 acres),Potato,15037,Tube well,College,14,Local Market,119.57,8.4,9265
273,Bangladesh,67,Female,Small (<2 acres),Sugarcane,7542,Canal,College,31,Export,74.36,18.41,6574
274,Sri Lanka,64,Male,Large (>10 acres),Wheat,11864,Drip,University,35,Export,269.38,14.7,7569
275,Sri Lanka,67,Male,Large (>10 acres),Wheat,17289,Sprinkler,University,42,Export,197.5,14.97,1182
276,Sri Lanka,23,Male,Medium (2-10 acres),Cotton,15774,Canal,No formal education,34,Regional Market,190.2,7.7,8899
277,Pakistan,20,Female,Small (<2 acres),Tomato,15456,Sprinkler,University,20,Regional Market,187.46,17.44,5452
278,India,25,Female,Large (>10 acres),Wheat,7835,Tube well,No formal education,11,Export,65.75,8.7,1102
279,Nepal,56,Female,Medium (2-10 acres),Tomato,19579,Rain-fed,Secondary,40,Export,201.16,9.04,2595
280,Nepal,41,Male,Small (<2 acres),Rice,11022,Drip,Primary,5,Export,213.02,0.72,7466
281,Nepal,35,Male,Large (>10 acres),Wheat,19489,Tube well,University,46,Regional Market,209.0,15.82,9978
282,Bangladesh,24,Male,Large (>10 acres),Wheat,13810,Sprinkler,Secondary,39,Local Market,113.78,10.45,3291
283,Nepal,60,Female,Large (>10 acres),Wheat,19747,Drip,Primary,35,Local Market,42.11,13.76,3255
284,Nepal,69,Female,Medium (2-10 acres),Maize,15019,Tube well,University,25,Export,278.98,19.84,6710
285,Nepal,62,Male,Large (>10 acres),Wheat,16985,Drip,College,46,Local Market,182.82,5.29,657
286,Bangladesh,36,Female,Medium (2-10 acres),Potato,9262,Drip,Secondary,2,Export,151.14,13.68,8572
287,Sri Lanka,59,Female,Medium (2-10 acres),Cotton,10582,Rain-fed,Primary,16,Export,206.06,13.23,2492
288,India,64,Male,Large (>10 acres),Potato,16622,Tube well,College,18,Export,88.11,1.62,9037
289,Sri Lanka,21,Female,Large (>10 acres),Sugarcane,15096,Rain-fed,Primary,18,Export,147.44,1.55,6281
290,Bangladesh,44,Female,Large (>10 acres),Cotton,14072,Tube well,University,37,Regional Market,78.75,3.85,7146
291,Sri Lanka,35,Male,Medium (2-10 acres),Tomato,15247,Drip,Primary,13,Local Market,173.61,11.25,9130
292,Nepal,20,Female,Large (>10 acres),Rice,18010,Tube well,No formal education,18,Regional Market,227.45,6.13,1538
293,Nepal,57,Male,Small (<2 acres),Cotton,18406,Rain-fed,Primary,7,Export,86.68,14.92,8466
294,Sri Lanka,18,Male,Medium (2-10 acres),Rice,16778,Tube well,University,16,Local Market,181.64,9.06,8641
295,India,31,Female,Small (<2 acres),Cotton,1904,Tube well,College,2,Local Market,184.55,17.19,7846
296,Pakistan,45,Male,Large (>10 acres),Tomato,7955,Tube well,Primary,35,Local Market,124.05,2.49,3458
297,Nepal,57,Female,Medium (2-10 acres),Sugarcane,4142,Drip,Primary,2,Regional Market,112.09,18.46,7675
298,Bangladesh,37,Female,Medium (2-10 acres),Tomato,2153,Rain-fed,Secondary,36,Regional Market,229.09,2.83,3443
299,Nepal,65,Male,Large (>10 acres),Rice,6009,Tube well,Secondary,21,Export,184.3,19.34,6711
300,India,48,Female,Large (>10 acres),Rice,959,Rain-fed,No formal education,40,Export,261.81,10.7,8334
301,Bangladesh,53,Female,Small (<2 acres),Maize,4017,Drip,University,15,Local Market,253.27,1.08,8941
302,Bangladesh,40,Male,Small (<2 acres),Cotton,7862,Sprinkler,Secondary,14,Local Market,124.19,12.98,869
303,Pakistan,54,Male,Medium (2-10 acres),Rice,7145,Sprinkler,No formal education,35,Local Market,146.02,3.04,9382
304,Sri Lanka,23,Female,Large (>10 acres),Rice,5107,Sprinkler,No formal education,32,Local Market,294.39,3.35,1321
305,India,66,Female,Medium (2-10 acres),Cotton,4864,Tube well,Secondary,11,Local Market,185.62,4.26,5928
306,Nepal,23,Female,Small (<2 acres),Wheat,9985,Drip,Primary,29,Regional Market,22.34,13.32,9616
307,India,64,Female,Small (<2 acres),Potato,4262,Rain-fed,College,2,Export,59.73,17.17,3480
308,Bangladesh,31,Male,Medium (2-10 acres),Rice,10775,Drip,University,22,Local Market,211.54,9.04,6300
309,Sri Lanka,35,Male,Large (>10 acres),Potato,16234,Drip,University,18,Local Market,253.61,0.52,9054
310,Pakistan,52,Male,Large (>10 acres),Potato,19168,Canal,Primary,3,Export,114.35,5.22,5265
311,Sri Lanka,41,Female,Small (<2 acres),Rice,4984,Sprinkler,Primary,46,Export,240.25,5.07,3910
312,Bangladesh,28,Female,Medium (2-10 acres),Sugarcane,4021,Rain-fed,Secondary,11,Regional Market,120.99,14.15,1588
313,India,18,Male,Large (>10 acres),Rice,10647,Sprinkler,Primary,4,Export,243.5,5.24,8926
314,India,27,Female,Small (<2 acres),Maize,2542,Sprinkler,Primary,27,Export,77.57,9.36,1006
315,Bangladesh,20,Female,Small (<2 acres),Cotton,5385,Tube well,Primary,16,Export,261.2,7.51,1613
316,Sri Lanka,38,Female,Small (<2 acres),Wheat,9324,Drip,No formal education,2,Local Market,255.74,4.84,8093
317,Bangladesh,69,Male,Small (<2 acres),Wheat,14161,Tube well,College,11,Regional Market,249.16,7.52,5062
318,Nepal,58,Female,Medium (2-10 acres),Tomato,12478,Tube well,College,4,Local Market,26.16,15.98,4203
319,Pakistan,55,Female,Small (<2 acres),Maize,6721,Sprinkler,No formal education,5,Local Market,166.65,5.56,6384
320,Nepal,61,Male,Large (>10 acres),Potato,4498,Drip,Secondary,14,Local Market,59.4,16.02,6040
321,India,33,Male,Large (>10 acres),Rice,2364,Rain-fed,Secondary,47,Export,144.77,12.66,1689
322,Sri Lanka,66,Male,Medium (2-10 acres),Tomato,11323,Drip,Primary,43,Export,46.38,18.62,8445
323,Pakistan,37,Female,Small (<2 acres),Rice,14575,Sprinkler,University,26,Local Market,256.03,10.06,3343
324,Pakistan,42,Male,Large (>10 acres),Tomato,18466,Sprinkler,Primary,9,Local Market,17.86,19.88,3465
325,India,21,Male,Small (<2 acres),Tomato,19101,Canal,University,45,Local Market,202.5,8.24,4766
326,Nepal,21,Male,Small (<2 acres),Tomato,4338,Rain-fed,University,14,Regional Market,124.71,8.04,2359
327,Nepal,39,Male,Medium (2-10 acres),Cotton,4846,Tube well,Primary,48,Export,104.04,19.97,1035
328,Bangladesh,58,Male,Large (>10 acres),Cotton,9528,Rain-fed,Primary,50,Export,299.86,2.22,5940
329,India,59,Female,Small (<2 acres),Maize,19949,Rain-fed,Primary,12,Regional Market,223.53,12.38,7088
330,Sri Lanka,40,Male,Small (<2 acres),Sugarcane,5919,Sprinkler,Primary,34,Regional Market,124.72,16.23,2253
331,India,20,Female,Small (<2 acres),Tomato,6659,Drip,Secondary,6,Regional Market,97.55,12.5,6779
332,Nepal,52,Male,Large (>10 acres),Sugarcane,12999,Canal,College,14,Local Market,236.98,17.36,600
333,Bangladesh,51,Female,Small (<2 acres),Cotton,15866,Sprinkler,Secondary,17,Export,263.43,6.19,7797
334,Sri Lanka,67,Male,Medium (2-10 acres),Potato,5049,Sprinkler,College,17,Regional Market,257.1,11.89,7294
335,Pakistan,29,Male,Small (<2 acres),Sugarcane,9545,Drip,University,39,Local Market,74.73,6.98,2153
336,Nepal,34,Male,Medium (2-10 acres),Rice,19024,Canal,College,29,Local Market,131.19,16.92,6014
337,India,55,Female,Large (>10 acres),Potato,3587,Sprinkler,No formal education,11,Regional Market,68.08,1.34,6382
338,India,65,Female,Large (>10 acres),Maize,3733,Sprinkler,No formal education,16,Local Market,140.47,14.95,9094
339,Bangladesh,26,Male,Large (>10 acres),Wheat,15780,Canal,No formal education,30,Regional Market,144.99,1.48,2828
340,Nepal,47,Male,Small (<2 acres),Potato,7279,Tube well,No formal education,39,Export,41.22,16.14,2129
341,India,54,Female,Large (>10 acres),Cotton,18523,Sprinkler,College,1,Regional Market,24.11,10.31,6688
342,Pakistan,39,Male,Medium (2-10 acres),Rice,10173,Drip,Secondary,14,Export,220.4,12.14,5084
343,Sri Lanka,53,Female,Small (<2 acres),Rice,1546,Rain-fed,College,6,Regional Market,152.42,15.36,8156
344,India,58,Female,Medium (2-10 acres),Rice,3299,Drip,Secondary,12,Export,80.85,5.58,2800
345,Pakistan,25,Female,Small (<2 acres),Maize,3460,Canal,University,40,Export,82.96,6.87,1391
346,Bangladesh,58,Female,Small (<2 acres),Cotton,12568,Rain-fed,Primary,5,Local Market,219.6,19.28,1116
347,Bangladesh,52,Male,Medium (2-10 acres),Sugarcane,9782,Drip,College,16,Regional Market,75.99,4.15,8683
348,India,63,Female,Medium (2-10 acres),Potato,16363,Rain-fed,University,38,Local Market,156.95,1.3,5981
349,India,40,Male,Large (>10 acres),Cotton,2737,Rain-fed,Secondary,45,Export,199.01,19.67,3886
350,Pakistan,22,Male,Medium (2-10 acres),Tomato,7588,Sprinkler,Primary,9,Regional Market,77.75,7.87,5523
351,Bangladesh,65,Male,Medium (2-10 acres),Rice,14579,Tube well,University,27,Regional Market,128.03,12.8,6046
352,Sri Lanka,44,Male,Large (>10 acres),Cotton,16704,Tube well,Primary,30,Local Market,201.79,19.42,6303
353,Sri Lanka,43,Male,Large (>10 acres),Tomato,15866,Rain-fed,No formal education,3,Export,41.95,8.59,8900
354,Bangladesh,53,Male,Large (>10 acres),Potato,3222,Rain-fed,No formal education,19,Local Market,260.31,17.17,1287
355,Sri Lanka,63,Female,Small (<2 acres),Potato,8721,Canal,No formal education,50,Export,130.06,18.46,9327
356,Bangladesh,47,Male,Small (<2 acres),Maize,8000,Rain-fed,Secondary,10,Local Market,18.8,6.11,9818
357,Bangladesh,45,Female,Large (>10 acres),Maize,10375,Tube well,Primary,34,Local Market,270.6,3.23,5157
358,Bangladesh,43,Male,Medium (2-10 acres),Maize,16443,Rain-fed,University,4,Local Market,211.61,1.65,7126
359,Bangladesh,58,Male,Large (>10 acres),Sugarcane,18794,Sprinkler,College,6,Regional Market,225.79,3.08,5560
360,India,48,Female,Medium (2-10 acres),Sugarcane,10565,Rain-fed,University,49,Regional Market,36.46,17.8,5007
361,Sri Lanka,48,Female,Small (<2 acres),Rice,2384,Tube well,No formal education,39,Local Market,220.77,17.81,7288
362,India,24,Female,Medium (2-10 acres),Rice,15027,Sprinkler,College,50,Export,46.31,10.8,6602
363,India,26,Female,Small (<2 acres),Sugarcane,17171,Tube well,No formal education,32,Regional Market,224.19,8.49,8592
364,India,20,Female,Small (<2 acres),Maize,17640,Drip,College,14,Export,141.6,1.43,7653
365,Pakistan,48,Female,Small (<2 acres),Wheat,13695,Rain-fed,University,42,Regional Market,238.58,18.78,9645
366,Nepal,29,Female,Medium (2-10 acres),Sugarcane,18362,Canal,No formal education,24,Local Market,83.61,19.1,2194
367,India,31,Male,Medium (2-10 acres),Tomato,8820,Rain-fed,College,6,Export,192.47,8.56,7906
368,Sri Lanka,26,Female,Small (<2 acres),Sugarcane,14764,Drip,Primary,27,Export,278.21,2.48,6315
369,Nepal,38,Male,Small (<2 acres),Potato,13069,Tube well,College,1,Regional Market,61.75,1.09,5545
370,Nepal,49,Female,Large (>10 acres),Rice,10125,Canal,College,19,Local Market,231.17,8.19,8056
371,Nepal,39,Male,Large (>10 acres),Potato,3317,Rain-fed,University,9,Export,176.64,2.91,8151
372,Nepal,39,Male,Medium (2-10 acres),Sugarcane,625,Drip,Secondary,35,Regional Market,190.4,13.22,6103
373,Sri Lanka,29,Male,Medium (2-10 acres),Cotton,9810,Rain-fed,College,45,Local Market,246.46,3.04,626
374,Nepal,33,Female,Large (>10 acres),Sugarcane,18330,Drip,University,17,Local Market,124.79,17.93,5496
375,Pakistan,55,Female,Large (>10 acres),Potato,19598,Drip,College,34,Export,172.03,2.0,6067
376,Bangladesh,59,Male,Medium (2-10 acres),Sugarcane,17087,Sprinkler,College,36,Regional Market,297.61,13.27,5617
377,Nepal,21,Female,Medium (2-10 acres),Cotton,11096,Canal,College,45,Local Market,184.74,8.08,1832
378,India,53,Female,Large (>10 acres),Rice,2502,Canal,No formal education,3,Local Market,70.67,11.22,4309
379,India,63,Male,Large (>10 acres),Rice,12573,Rain-fed,Secondary,12,Regional Market,277.8,6.82,5082
380,Bangladesh,50,Female,Small (<2 acres),Cotton,7851,Rain-fed,Secondary,11,Regional Market,268.43,12.93,4471
381,Bangladesh,39,Female,Medium (2-10 acres),Wheat,19959,Tube well,University,46,Regional Market,126.73,1.75,3474
382,Nepal,51,Male,Large (>10 acres),Potato,13943,Drip,Primary,36,Local Market,290.15,12.95,6032
383,Pakistan,32,Female,Medium (2-10 acres),Maize,19533,Tube well,Primary,10,Export,98.12,13.92,4011
384,India,34,Male,Small (<2 acres),Sugarcane,2511,Sprinkler,College,20,Export,16.45,19.84,9342
385,Pakistan,36,Male,Small (<2 acres),Maize,19054,Rain-fed,Primary,50,Export,106.7,9.99,993
386,India,22,Male,Medium (2-10 acres),Tomato,809,Drip,College,12,Regional Market,162.2,9.04,1916
387,Pakistan,45,Male,Medium (2-10 acres),Maize,11624,Tube well,Secondary,35,Local Market,157.64,9.32,3427
388,India,44,Female,Small (<2 acres),Sugarcane,12622,Canal,College,10,Export,204.69,8.65,2043
389,Pakistan,55,Female,Small (<2 acres),Wheat,15740,Tube well,Secondary,13,Local Market,20.92,2.7,5666
390,Nepal,19,Male,Large (>10 acres),Cotton,14737,Drip,College,45,Export,185.52,19.43,5133
391,Nepal,54,Male,Small (<2 acres),Rice,12631,Rain-fed,College,22,Export,169.2,12.31,3216
392,Nepal,38,Female,Large (>10 acres),Rice,12353,Canal,Secondary,43,Local Market,169.34,9.33,5450
393,Bangladesh,57,Female,Small (<2 acres),Sugarcane,10621,Sprinkler,University,37,Regional Market,68.04,13.29,4968
394,India,69,Male,Large (>10 acres),Wheat,9137,Sprinkler,No formal education,35,Local Market,230.35,5.49,9803
395,Nepal,45,Female,Medium (2-10 acres),Sugarcane,17593,Tube well,Secondary,49,Regional Market,24.29,3.59,6389
396,Bangladesh,27,Female,Small (<2 acres),Potato,2030,Tube well,Secondary,41,Export,140.79,17.94,6974
397,Sri Lanka,51,Male,Medium (2-10 acres),Wheat,9177,Tube well,Primary,40,Regional Market,143.89,14.77,8369
398,Pakistan,22,Female,Large (>10 acres),Sugarcane,16401,Rain-fed,College,6,Regional Market,174.64,11.17,6518
399,Bangladesh,23,Female,Large (>10 acres),Wheat,14049,Drip,No formal education,38,Regional Market,204.23,1.21,9695
400,Pakistan,58,Female,Medium (2-10 acres),Maize,14792,Canal,College,3,Regional Market,263.34,15.84,3026
401,Pakistan,39,Male,Medium (2-10 acres),Rice,8022,Rain-fed,Primary,11,Local Market,166.58,15.01,9884
402,Pakistan,69,Female,Small (<2 acres),Wheat,5256,Canal,College,20,Export,278.79,12.65,1724
403,Bangladesh,19,Female,Large (>10 acres),Wheat,18962,Canal,Secondary,20,Export,192.84,10.07,1425
404,Pakistan,43,Female,Medium (2-10 acres),Sugarcane,9804,Tube well,University,20,Regional Market,219.58,15.37,2175
405,Pakistan,69,Female,Large (>10 acres),Wheat,13133,Tube well,University,34,Local Market,47.17,6.63,2641
406,Sri Lanka,25,Female,Medium (2-10 acres),Tomato,11427,Drip,Primary,15,Local Market,51.93,3.57,8401
407,Nepal,39,Female,Large (>10 acres),Cotton,6784,Drip,College,50,Export,81.29,10.6,3893
408,Nepal,34,Male,Small (<2 acres),Cotton,17951,Rain-fed,No formal education,1,Regional Market,139.23,19.94,8542
409,India,44,Male,Small (<2 acres),Sugarcane,17764,Sprinkler,No formal education,29,Regional Market,50.36,1.69,8381
410,India,30,Male,Small (<2 acres),Tomato,8445,Tube well,Primary,34,Export,217.94,14.91,9541
411,Bangladesh,58,Female,Large (>10 acres),Potato,1840,Drip,University,30,Local Market,234.53,11.83,8057
412,Sri Lanka,23,Female,Medium (2-10 acres),Maize,11840,Sprinkler,University,26,Export,292.85,1.71,8351
413,Nepal,56,Female,Medium (2-10 acres),Sugarcane,6852,Drip,Secondary,27,Regional Market,88.94,14.77,7095
414,Nepal,58,Male,Large (>10 acres),Cotton,6208,Tube well,Primary,2,Export,262.58,19.06,6342
415,India,54,Female,Small (<2 acres),Cotton,12432,Canal,No formal education,19,Regional Market,180.39,2.01,9052
416,Nepal,38,Male,Small (<2 acres),Rice,8874,Drip,College,16,Local Market,184.94,7.12,6093
417,India,54,Female,Small (<2 acres),Maize,623,Canal,University,27,Regional Market,211.11,5.53,2931
418,Sri Lanka,22,Female,Small (<2 acres),Wheat,929,Rain-fed,College,2,Export,288.01,10.08,3304
419,Sri Lanka,47,Female,Large (>10 acres),Wheat,14522,Sprinkler,Secondary,2,Regional Market,106.0,17.63,2456
420,Sri Lanka,67,Male,Medium (2-10 acres),Tomato,16614,Sprinkler,No formal education,26,Local Market,81.56,15.32,6767
421,Nepal,37,Male,Large (>10 acres),Tomato,14682,Rain-fed,Secondary,16,Export,160.78,11.26,8842
422,India,56,Female,Small (<2 acres),Rice,18185,Canal,University,48,Regional Market,290.47,6.44,2961
423,Nepal,49,Male,Medium (2-10 acres),Tomato,8962,Tube well,Primary,32,Export,185.93,9.77,7060
424,Bangladesh,26,Male,Small (<2 acres),Sugarcane,6198,Drip,Primary,39,Export,63.37,11.16,9749
425,Nepal,35,Female,Medium (2-10 acres),Maize,2327,Sprinkler,College,8,Export,192.62,5.87,5100
426,Bangladesh,58,Male,Small (<2 acres),Potato,2120,Rain-fed,College,10,Local Market,148.23,18.64,9048
427,Nepal,37,Female,Large (>10 acres),Maize,10981,Rain-fed,Secondary,1,Local Market,98.46,14.85,818
428,Pakistan,31,Female,Small (<2 acres),Potato,8818,Sprinkler,University,34,Regional Market,65.71,9.03,824
429,Pakistan,26,Male,Medium (2-10 acres),Rice,13036,Tube well,No formal education,11,Export,104.71,2.99,7933
430,Pakistan,63,Female,Large (>10 acres),Cotton,4319,Drip,Primary,35,Export,280.96,9.42,4853
431,Bangladesh,35,Male,Medium (2-10 acres),Potato,7384,Tube well,Secondary,42,Local Market,264.79,7.07,7105
432,Sri Lanka,58,Male,Small (<2 acres),Cotton,18067,Canal,College,15,Export,28.45,2.04,3981
433,India,45,Male,Medium (2-10 acres),Potato,2645,Rain-fed,College,35,Local Market,226.18,12.09,3191
434,Nepal,36,Female,Large (>10 acres),Rice,18928,Canal,College,24,Export,197.16,13.83,6301
435,Bangladesh,22,Female,Medium (2-10 acres),Cotton,18961,Rain-fed,University,26,Local Market,250.23,9.98,564
436,Sri Lanka,32,Male,Large (>10 acres),Tomato,2487,Rain-fed,College,41,Export,133.85,14.31,4185
437,Bangladesh,67,Female,Large (>10 acres),Maize,9239,Tube well,University,6,Regional Market,17.73,2.3,5659
438,India,63,Male,Large (>10 acres),Rice,18452,Tube well,Secondary,11,Export,177.11,10.88,3636
439,Sri Lanka,70,Male,Large (>10 acres),Tomato,2935,Sprinkler,University,40,Local Market,78.48,13.24,5295
440,Nepal,59,Male,Small (<2 acres),Cotton,5328,Sprinkler,Primary,26,Local Market,160.45,0.7,9815
441,Nepal,22,Male,Large (>10 acres),Maize,16911,Canal,University,15,Export,120.71,0.71,9017
442,India,46,Female,Medium (2-10 acres),Maize,1884,Rain-fed,College,21,Local Market,200.48,19.62,5108
443,Bangladesh,54,Male,Medium (2-10 acres),Tomato,2496,Drip,No formal education,38,Local Market,114.79,0.84,3024
444,India,28,Female,Medium (2-10 acres),Rice,13995,Drip,No formal education,12,Local Market,143.99,9.06,7956
445,Bangladesh,39,Male,Small (<2 acres),Sugarcane,17248,Canal,Secondary,41,Local Market,93.15,1.53,7852
446,Sri Lanka,54,Female,Small (<2 acres),Tomato,18326,Rain-fed,College,22,Export,130.44,17.43,1857
447,Nepal,27,Male,Large (>10 acres),Rice,18203,Canal,University,25,Export,220.81,16.98,7443
448,Sri Lanka,57,Male,Medium (2-10 acres),Tomato,4906,Rain-fed,No formal education,24,Export,231.35,7.81,8205
449,India,51,Female,Medium (2-10 acres),Tomato,5774,Canal,Primary,24,Regional Market,68.23,0.62,1434
450,Sri Lanka,42,Female,Large (>10 acres),Sugarcane,10289,Canal,Primary,21,Local Market,198.01,13.5,3384
451,Bangladesh,67,Male,Medium (2-10 acres),Wheat,16450,Tube well,Secondary,44,Regional Market,112.35,3.31,548
452,Bangladesh,33,Male,Medium (2-10 acres),Cotton,11031,Tube well,Secondary,19,Local Market,181.1,2.18,4788
453,Pakistan,40,Male,Small (<2 acres),Wheat,10883,Drip,Primary,14,Regional Market,25.37,15.34,4696
454,Nepal,55,Male,Medium (2-10 acres),Rice,4679,Drip,Primary,7,Export,209.56,7.39,1846
455,Bangladesh,64,Female,Small (<2 acres),Potato,12837,Canal,Secondary,23,Local Market,18.46,15.33,2352
456,Bangladesh,49,Male,Small (<2 acres),Wheat,9937,Sprinkler,University,23,Export,69.16,11.22,9430
457,Sri Lanka,29,Female,Large (>10 acres),Sugarcane,1553,Tube well,University,10,Regional Market,104.13,6.01,8258
458,India,55,Female,Medium (2-10 acres),Wheat,1853,Rain-fed,University,15,Regional Market,166.67,18.74,6935
459,Nepal,52,Male,Medium (2-10 acres),Wheat,13981,Sprinkler,Primary,30,Export,223.45,2.27,4236
460,Nepal,61,Male,Small (<2 acres),Wheat,1335,Rain-fed,University,27,Regional Market,160.95,17.52,5897
461,Nepal,70,Female,Small (<2 acres),Wheat,6361,Tube well,College,14,Regional Market,51.13,10.38,9232
462,Pakistan,64,Female,Small (<2 acres),Rice,9896,Drip,Primary,40,Export,270.48,5.59,1057
463,India,68,Female,Medium (2-10 acres),Sugarcane,16603,Canal,Primary,7,Regional Market,194.94,9.29,5591
464,Bangladesh,34,Female,Small (<2 acres),Tomato,14229,Canal,College,20,Local Market,260.55,15.78,8094
465,Pakistan,33,Male,Medium (2-10 acres),Sugarcane,7233,Canal,University,42,Regional Market,37.08,3.54,9025
466,India,28,Male,Small (<2 acres),Potato,16468,Drip,University,50,Local Market,252.82,13.95,7325
467,Nepal,46,Female,Large (>10 acres),Tomato,18102,Drip,University,35,Local Market,192.58,16.16,5449
468,India,45,Female,Small (<2 acres),Tomato,4200,Canal,Secondary,12,Regional Market,231.02,16.7,6344
469,India,26,Male,Small (<2 acres),Rice,16544,Tube well,College,42,Local Market,228.34,2.28,9335
470,Bangladesh,26,Female,Medium (2-10 acres),Wheat,835,Rain-fed,No formal education,1,Export,243.2,11.7,3146
471,Sri Lanka,58,Male,Large (>10 acres),Maize,16507,Sprinkler,Primary,29,Local Market,229.21,12.2,7897
472,Nepal,18,Male,Small (<2 acres),Sugarcane,1327,Rain-fed,University,32,Local Market,220.8,10.74,7077
473,Bangladesh,42,Female,Small (<2 acres),Potato,16584,Canal,No formal education,26,Local Market,271.64,5.28,1684
474,India,21,Male,Large (>10 acres),Potato,3187,Canal,University,36,Regional Market,111.06,9.84,6657
475,Sri Lanka,33,Male,Large (>10 acres),Cotton,17860,Canal,University,27,Local Market,205.02,19.49,8771
476,Sri Lanka,29,Male,Small (<2 acres),Cotton,1361,Tube well,Secondary,7,Export,125.0,19.56,1797
477,India,29,Male,Large (>10 acres),Cotton,14315,Drip,No formal education,41,Regional Market,295.37,7.29,8286
478,Bangladesh,63,Male,Large (>10 acres),Wheat,19294,Drip,University,17,Local Market,272.47,11.91,6515
479,Pakistan,39,Female,Medium (2-10 acres),Cotton,4942,Rain-fed,University,13,Regional Market,48.85,16.47,5576
480,Pakistan,37,Male,Medium (2-10 acres),Maize,11757,Rain-fed,University,18,Export,205.82,15.06,8998
481,Nepal,34,Female,Small (<2 acres),Potato,16026,Drip,No formal education,8,Export,126.47,5.73,4596
482,Sri Lanka,21,Male,Medium (2-10 acres),Rice,5529,Sprinkler,College,49,Export,274.19,18.25,2170
483,Nepal,18,Female,Large (>10 acres),Cotton,3397,Sprinkler,Primary,33,Regional Market,214.92,5.41,3906
484,Sri Lanka,25,Male,Small (<2 acres),Cotton,6027,Canal,College,42,Export,99.93,1.53,8004
485,Sri Lanka,53,Female,Large (>10 acres),Wheat,17509,Tube well,Secondary,2,Local Market,260.54,9.5,3743
486,Nepal,33,Male,Medium (2-10 acres),Sugarcane,17605,Canal,Secondary,31,Export,188.46,5.64,7880
487,Pakistan,35,Female,Small (<2 acres),Tomato,18745,Tube well,College,27,Export,155.16,7.77,9497
488,Bangladesh,18,Female,Small (<2 acres),Maize,17597,Drip,University,9,Regional Market,292.08,17.45,1972
